Temperature,Wind Speed,Visibility,Cloud Cover
19.1,2.0,7.0,89.1
19.1,5.7,5.0,88.0
18.7,2.2,8.6,94.3
19.1,5.7,7.0,88.0
19.1,3.7,8.0,89.1
18.1,7.8,7.9,88.0
19.1,7.7,8.0,89.1
19.1,7.8,5.0,88.0
18.7,3.7,8.1,94.3
19.1,3.7,6.0,88.0
19.1,3.6,5.0,89.1
19.1,3.7,5.1,88.0
19.1,3.7,5.0,89.1
19.1,5.5,4.1,88.0
18.8,5.7,12.4,89.1
20.1,5.6,4.1,88.0
19.1,5.5,4.1,89.1
20.1,5.6,4.0,88.0
22.1,7.6,7.0,50.6
22.1,7.8,7.0,51.4
21.3,5.6,15.2,71.7
23.1,9.5,9.9,50.0
22.1,13.1,10.0,50.0
22.1,9.5,5.1,50.0
23.0,11.3,5.1,50.0
24.0,11.4,9.9,50.0
23.6,8.4,15.2,71.0
25.0,11.5,9.9,50.0
24.0,7.7,10.0,50.0
24.0,9.7,9.9,49.1
24.0,11.3,10.0,50.0
23.9,13.1,9.9,25.9
22.8,7.2,15.2,71.0
22.0,11.2,9.9,50.0
22.0,11.2,9.9,50.0
21.0,9.4,9.9,50.0
21.0,11.2,9.9,89.1
21.0,9.4,9.9,88.0
20.8,11.1,15.2,89.1
21.0,9.5,9.9,86.6
21.0,9.4,8.0,88.4
21.0,9.4,8.0,86.6
21.0,12.9,8.0,89.1
21.0,9.4,6.0,88.0
19.9,7.7,13.4,89.1
20.0,7.6,6.0,88.0
20.0,3.7,5.0,89.1
20.0,3.8,5.0,88.0
20.0,3.7,3.0,89.1
20.0,3.7,5.0,88.0
19.8,3.7,12.9,89.1
20.0,9.4,5.0,88.0
20.0,12.9,5.0,89.1
19.1,11.1,5.0,88.0
19.1,11.1,5.0,89.1
19.0,11.0,5.0,88.0
19.7,14.4,8.1,89.1
20.0,12.6,6.0,88.0
19.0,11.1,5.0,89.1
19.1,11.1,5.0,88.0
20.0,11.1,5.0,89.1
20.0,9.2,5.0,88.0
19.7,5.4,12.4,94.3
20.0,7.4,2.1,88.0
20.1,3.5,3.0,89.1
20.1,9.2,3.1,88.0
21.0,5.4,3.1,89.1
21.0,10.8,5.0,88.0
21.1,7.9,12.9,94.3
22.0,10.9,5.0,88.0
