,phuTai,giaBien,DateTime
0,20198,478,01/01/2021 00:00:00
1,20198,488,01/01/2021 00:30:00
2,19692,488,01/01/2021 01:00:00
3,19692,488,01/01/2021 01:30:00
4,19581,513,01/01/2021 02:00:00
5,19581,470,01/01/2021 02:30:00
6,19527,488,01/01/2021 03:00:00
7,19527,1,01/01/2021 03:30:00
8,19634,0,01/01/2021 04:00:00
9,19634,1,01/01/2021 04:30:00
10,19566,341,01/01/2021 05:00:00
11,19566,1,01/01/2021 05:30:00
12,20573,932,01/01/2021 06:00:00
13,20573,640,01/01/2021 06:30:00
14,19792,1040,01/01/2021 07:00:00
15,19792,1132,01/01/2021 07:30:00
16,18757,1041,01/01/2021 08:00:00
17,18757,1082,01/01/2021 08:30:00
18,17895,1082,01/01/2021 09:00:00
19,17895,932,01/01/2021 09:30:00
20,18005,1,01/01/2021 10:00:00
21,18005,1,01/01/2021 10:30:00
22,16885,1,01/01/2021 11:00:00
23,16885,1,01/01/2021 11:30:00
24,16519,1082,01/01/2021 12:00:00
25,16519,1048,01/01/2021 12:30:00
26,17290,1048,01/01/2021 13:00:00
27,17290,1048,01/01/2021 13:30:00
28,18670,1132,01/01/2021 14:00:00
29,18670,1040,01/01/2021 14:30:00
30,21079,981,01/01/2021 15:00:00
31,21079,1,01/01/2021 15:30:00
32,23278,1128,01/01/2021 16:00:00
33,23278,1048,01/01/2021 16:30:00
34,26124,1630,01/01/2021 17:00:00
35,26124,1455,01/01/2021 17:30:00
36,23478,1455,01/01/2021 18:00:00
37,23478,1630,01/01/2021 18:30:00
38,22528,1168,01/01/2021 19:00:00
39,22528,731,01/01/2021 19:30:00
40,21551,708,01/01/2021 20:00:00
41,21551,1140,01/01/2021 20:30:00
42,20118,1035,01/01/2021 21:00:00
43,20118,553,01/01/2021 21:30:00
44,18458,553,01/01/2021 22:00:00
45,18458,553,01/01/2021 22:30:00
46,17406,553,01/01/2021 23:00:00
47,17406,513,01/01/2021 23:30:00
48,17020,488,01/02/2021 00:00:00
49,17020,1,01/02/2021 00:30:00
50,16788,1,01/02/2021 01:00:00
51,16788,1,01/02/2021 01:30:00
52,16684,1,01/02/2021 02:00:00
53,16684,1,01/02/2021 02:30:00
54,17140,1,01/02/2021 03:00:00
55,17140,1,01/02/2021 03:30:00
56,17972,1,01/02/2021 04:00:00
57,17972,463,01/02/2021 04:30:00
58,19422,463,01/02/2021 05:00:00
59,19422,463,01/02/2021 05:30:00
60,21977,947,01/02/2021 06:00:00
61,21977,950,01/02/2021 06:30:00
62,23773,986,01/02/2021 07:00:00
63,23773,1155,01/02/2021 07:30:00
64,23559,1082,01/02/2021 08:00:00
65,23559,1014,01/02/2021 08:30:00
66,23039,1,01/02/2021 09:00:00
67,23039,1,01/02/2021 09:30:00
68,21977,1,01/02/2021 10:00:00
69,21977,1,01/02/2021 10:30:00
70,19864,1,01/02/2021 11:00:00
71,19864,1048,01/02/2021 11:30:00
72,21309,1,01/02/2021 12:00:00
73,21309,956,01/02/2021 12:30:00
74,22743,1014,01/02/2021 13:00:00
75,22743,1014,01/02/2021 13:30:00
76,24198,981,01/02/2021 14:00:00
77,24198,942,01/02/2021 14:30:00
78,26481,1207,01/02/2021 15:00:00
79,26481,1326,01/02/2021 15:30:00
80,27919,1455,01/02/2021 16:00:00
81,27919,1455,01/02/2021 16:30:00
82,30078,1630,01/02/2021 17:00:00
83,30078,1630,01/02/2021 17:30:00
84,27165,1455,01/02/2021 18:00:00
85,27165,1501,01/02/2021 18:30:00
86,25779,1239,01/02/2021 19:00:00
87,25779,1352,01/02/2021 19:30:00
88,25113,1400,01/02/2021 20:00:00
89,25113,1529,01/02/2021 20:30:00
90,23484,1377,01/02/2021 21:00:00
91,23484,1326,01/02/2021 21:30:00
92,21761,1326,01/02/2021 22:00:00
93,21761,1201,01/02/2021 22:30:00
94,20862,1314,01/02/2021 23:00:00
95,20862,1207,01/02/2021 23:30:00
96,20248,1165,01/03/2021 00:00:00
97,20248,1119,01/03/2021 00:30:00
98,20095,1134,01/03/2021 01:00:00
99,20095,1134,01/03/2021 01:30:00
100,19822,1117,01/03/2021 02:00:00
101,19822,1073,01/03/2021 02:30:00
102,20084,1119,01/03/2021 03:00:00
103,20084,1128,01/03/2021 03:30:00
104,20355,1089,01/03/2021 04:00:00
105,20355,1089,01/03/2021 04:30:00
106,21015,1044,01/03/2021 05:00:00
107,21015,1211,01/03/2021 05:30:00
108,22964,1314,01/03/2021 06:00:00
109,22964,1326,01/03/2021 06:30:00
110,23171,1301,01/03/2021 07:00:00
111,23171,1132,01/03/2021 07:30:00
112,22841,1364,01/03/2021 08:00:00
113,22841,1132,01/03/2021 08:30:00
114,22568,1132,01/03/2021 09:00:00
115,22568,1192,01/03/2021 09:30:00
116,22118,1132,01/03/2021 10:00:00
117,22118,1132,01/03/2021 10:30:00
118,19688,1132,01/03/2021 11:00:00
119,19688,956,01/03/2021 11:30:00
120,19903,956,01/03/2021 12:00:00
121,19903,1048,01/03/2021 12:30:00
122,21305,1048,01/03/2021 13:00:00
123,21305,1014,01/03/2021 13:30:00
124,23038,1301,01/03/2021 14:00:00
125,23038,1132,01/03/2021 14:30:00
126,25623,1301,01/03/2021 15:00:00
127,25623,1192,01/03/2021 15:30:00
128,28718,1518,01/03/2021 16:00:00
129,28718,1326,01/03/2021 16:30:00
130,31161,1630,01/03/2021 17:00:00
131,31161,1630,01/03/2021 17:30:00
132,28294,1377,01/03/2021 18:00:00
133,28294,1513,01/03/2021 18:30:00
134,26766,1519,01/03/2021 19:00:00
135,26766,1519,01/03/2021 19:30:00
136,25948,1630,01/03/2021 20:00:00
137,25948,1630,01/03/2021 20:30:00
138,24233,1629,01/03/2021 21:00:00
139,24233,1519,01/03/2021 21:30:00
140,22187,1519,01/03/2021 22:00:00
141,22187,1377,01/03/2021 22:30:00
142,21282,1314,01/03/2021 23:00:00
143,21282,1310,01/03/2021 23:30:00
144,20846,1182,01/04/2021 00:00:00
145,20846,1172,01/04/2021 00:30:00
146,20581,1162,01/04/2021 01:00:00
147,20581,1134,01/04/2021 01:30:00
148,20561,1133,01/04/2021 02:00:00
149,20561,1132,01/04/2021 02:30:00
150,20780,1132,01/04/2021 03:00:00
151,20780,1134,01/04/2021 03:30:00
152,21719,1309,01/04/2021 04:00:00
153,21719,1319,01/04/2021 04:30:00
154,23808,1326,01/04/2021 05:00:00
155,23808,1377,01/04/2021 05:30:00
156,26482,1630,01/04/2021 06:00:00
157,26482,1629,01/04/2021 06:30:00
158,28904,1630,01/04/2021 07:00:00
159,28904,1630,01/04/2021 07:30:00
160,28715,1364,01/04/2021 08:00:00
161,28715,1301,01/04/2021 08:30:00
162,27800,865,01/04/2021 09:00:00
163,27800,1048,01/04/2021 09:30:00
164,27733,1048,01/04/2021 10:00:00
165,27733,791,01/04/2021 10:30:00
166,25043,1040,01/04/2021 11:00:00
167,25043,981,01/04/2021 11:30:00
168,26691,1014,01/04/2021 12:00:00
169,26691,1337,01/04/2021 12:30:00
170,29441,1546,01/04/2021 13:00:00
171,29441,1326,01/04/2021 13:30:00
172,30615,1352,01/04/2021 14:00:00
173,30615,1630,01/04/2021 14:30:00
174,32145,1630,01/04/2021 15:00:00
175,32145,1630,01/04/2021 15:30:00
176,34506,1630,01/04/2021 16:00:00
177,34506,1630,01/04/2021 16:30:00
