,phuTai,giaBien,DateTime
0,24168,130,09/01/2020 00:00:00
1,24168,128,09/01/2020 00:30:00
2,23934,127,09/01/2020 01:00:00
3,23934,126,09/01/2020 01:30:00
4,23853,126,09/01/2020 02:00:00
5,23853,125,09/01/2020 02:30:00
6,24069,126,09/01/2020 03:00:00
7,24069,126,09/01/2020 03:30:00
8,24414,127,09/01/2020 04:00:00
9,24414,128,09/01/2020 04:30:00
10,26056,132,09/01/2020 05:00:00
11,26056,135,09/01/2020 05:30:00
12,28290,139,09/01/2020 06:00:00
13,28290,142,09/01/2020 06:30:00
14,31356,151,09/01/2020 07:00:00
15,31356,994,09/01/2020 07:30:00
16,32261,163,09/01/2020 08:00:00
17,32261,166,09/01/2020 08:30:00
18,32736,165,09/01/2020 09:00:00
19,32736,167,09/01/2020 09:30:00
20,32687,166,09/01/2020 10:00:00
21,32687,165,09/01/2020 10:30:00
22,30514,158,09/01/2020 11:00:00
23,30514,151,09/01/2020 11:30:00
24,31990,154,09/01/2020 12:00:00
25,31990,158,09/01/2020 12:30:00
26,33155,1194,09/01/2020 13:00:00
27,33155,1142,09/01/2020 13:30:00
28,33770,1241,09/01/2020 14:00:00
29,33770,1206,09/01/2020 14:30:00
30,34496,1246,09/01/2020 15:00:00
31,34496,1274,09/01/2020 15:30:00
32,35130,1802,09/01/2020 16:00:00
33,35130,1704,09/01/2020 16:30:00
34,37169,1806,09/01/2020 17:00:00
35,37169,1811,09/01/2020 17:30:00
36,32969,174,09/01/2020 18:00:00
37,32969,165,09/01/2020 18:30:00
38,31240,163,09/01/2020 19:00:00
39,31240,1164,09/01/2020 19:30:00
40,30277,1260,09/01/2020 20:00:00
41,30277,1158,09/01/2020 20:30:00
42,28822,1235,09/01/2020 21:00:00
43,28822,1100,09/01/2020 21:30:00
44,27139,1113,09/01/2020 22:00:00
45,27139,1244,09/01/2020 22:30:00
46,25616,1241,09/01/2020 23:00:00
47,25616,1237,09/01/2020 23:30:00
48,24168,130,09/02/2020 00:00:00
49,24168,128,09/02/2020 00:30:00
50,23934,127,09/02/2020 01:00:00
51,23934,126,09/02/2020 01:30:00
52,23853,126,09/02/2020 02:00:00
53,23853,125,09/02/2020 02:30:00
54,24069,126,09/02/2020 03:00:00
55,24069,126,09/02/2020 03:30:00
56,24414,127,09/02/2020 04:00:00
57,24414,128,09/02/2020 04:30:00
58,26056,132,09/02/2020 05:00:00
59,26056,135,09/02/2020 05:30:00
60,28290,139,09/02/2020 06:00:00
61,28290,142,09/02/2020 06:30:00
62,31356,151,09/02/2020 07:00:00
63,31356,994,09/02/2020 07:30:00
64,32261,163,09/02/2020 08:00:00
65,32261,166,09/02/2020 08:30:00
66,32736,165,09/02/2020 09:00:00
67,32736,167,09/02/2020 09:30:00
68,32687,166,09/02/2020 10:00:00
69,32687,165,09/02/2020 10:30:00
70,30514,158,09/02/2020 11:00:00
71,30514,151,09/02/2020 11:30:00
72,31990,154,09/02/2020 12:00:00
73,31990,158,09/02/2020 12:30:00
74,33155,1194,09/02/2020 13:00:00
75,33155,1142,09/02/2020 13:30:00
76,33770,1241,09/02/2020 14:00:00
77,33770,1206,09/02/2020 14:30:00
78,34496,1246,09/02/2020 15:00:00
79,34496,1274,09/02/2020 15:30:00
80,35130,1802,09/02/2020 16:00:00
81,35130,1704,09/02/2020 16:30:00
82,37169,1806,09/02/2020 17:00:00
83,37169,1811,09/02/2020 17:30:00
84,32969,174,09/02/2020 18:00:00
85,32969,165,09/02/2020 18:30:00
86,31240,163,09/02/2020 19:00:00
87,31240,1164,09/02/2020 19:30:00
88,30277,1260,09/02/2020 20:00:00
89,30277,1158,09/02/2020 20:30:00
90,28822,1235,09/02/2020 21:00:00
91,28822,1100,09/02/2020 21:30:00
92,27139,1113,09/02/2020 22:00:00
93,27139,1244,09/02/2020 22:30:00
94,25616,1241,09/02/2020 23:00:00
95,25616,1237,09/02/2020 23:30:00
96,24168,130,09/03/2020 00:00:00
97,24168,128,09/03/2020 00:30:00
98,23934,127,09/03/2020 01:00:00
99,23934,126,09/03/2020 01:30:00
100,23853,126,09/03/2020 02:00:00
101,23853,125,09/03/2020 02:30:00
102,24069,126,09/03/2020 03:00:00
103,24069,126,09/03/2020 03:30:00
104,24414,127,09/03/2020 04:00:00
105,24414,128,09/03/2020 04:30:00
106,26056,132,09/03/2020 05:00:00
107,26056,135,09/03/2020 05:30:00
108,28290,139,09/03/2020 06:00:00
109,28290,142,09/03/2020 06:30:00
110,31356,151,09/03/2020 07:00:00
111,31356,994,09/03/2020 07:30:00
112,32261,163,09/03/2020 08:00:00
113,32261,166,09/03/2020 08:30:00
114,32736,165,09/03/2020 09:00:00
115,32736,167,09/03/2020 09:30:00
116,32687,166,09/03/2020 10:00:00
117,32687,165,09/03/2020 10:30:00
118,30514,158,09/03/2020 11:00:00
119,30514,151,09/03/2020 11:30:00
120,31990,154,09/03/2020 12:00:00
121,31990,158,09/03/2020 12:30:00
122,33155,1194,09/03/2020 13:00:00
123,33155,1142,09/03/2020 13:30:00
124,33770,1241,09/03/2020 14:00:00
125,33770,1206,09/03/2020 14:30:00
126,34496,1246,09/03/2020 15:00:00
127,34496,1274,09/03/2020 15:30:00
128,35130,1802,09/03/2020 16:00:00
129,35130,1704,09/03/2020 16:30:00
130,37169,1806,09/03/2020 17:00:00
131,37169,1811,09/03/2020 17:30:00
132,32969,174,09/03/2020 18:00:00
133,32969,165,09/03/2020 18:30:00
134,31240,163,09/03/2020 19:00:00
135,31240,1164,09/03/2020 19:30:00
136,30277,1260,09/03/2020 20:00:00
137,30277,1158,09/03/2020 20:30:00
138,28822,1235,09/03/2020 21:00:00
139,28822,1100,09/03/2020 21:30:00
140,27139,1113,09/03/2020 22:00:00
141,27139,1244,09/03/2020 22:30:00
142,25616,1241,09/03/2020 23:00:00
143,25616,1237,09/03/2020 23:30:00
144,24168,130,09/04/2020 00:00:00
145,24168,128,09/04/2020 00:30:00
146,23934,127,09/04/2020 01:00:00
147,23934,126,09/04/2020 01:30:00
148,23853,126,09/04/2020 02:00:00
149,23853,125,09/04/2020 02:30:00
150,24069,126,09/04/2020 03:00:00
151,24069,126,09/04/2020 03:30:00
152,24414,127,09/04/2020 04:00:00
153,24414,128,09/04/2020 04:30:00
154,26056,132,09/04/2020 05:00:00
155,26056,135,09/04/2020 05:30:00
156,28290,139,09/04/2020 06:00:00
157,28290,142,09/04/2020 06:30:00
158,31356,151,09/04/2020 07:00:00
159,31356,994,09/04/2020 07:30:00
160,32261,163,09/04/2020 08:00:00
161,32261,166,09/04/2020 08:30:00
162,32736,165,09/04/2020 09:00:00
163,32736,167,09/04/2020 09:30:00
164,32687,166,09/04/2020 10:00:00
165,32687,165,09/04/2020 10:30:00
166,30514,158,09/04/2020 11:00:00
167,30514,151,09/04/2020 11:30:00
168,31990,154,09/04/2020 12:00:00
169,31990,158,09/04/2020 12:30:00
170,33155,1194,09/04/2020 13:00:00
171,33155,1142,09/04/2020 13:30:00
172,33770,1241,09/04/2020 14:00:00
173,33770,1206,09/04/2020 14:30:00
174,34496,1246,09/04/2020 15:00:00
175,34496,1274,09/04/2020 15:30:00
176,35130,1802,09/04/2020 16:00:00
177,35130,1704,09/04/2020 16:30:00
178,37169,1806,09/04/2020 17:00:00
179,37169,1811,09/04/2020 17:30:00
180,32969,174,09/04/2020 18:00:00
181,32969,165,09/04/2020 18:30:00
182,31240,163,09/04/2020 19:00:00
183,31240,1164,09/04/2020 19:30:00
184,30277,1260,09/04/2020 20:00:00
185,30277,1158,09/04/2020 20:30:00
186,28822,1235,09/04/2020 21:00:00
187,28822,1100,09/04/2020 21:30:00
188,27139,1113,09/04/2020 22:00:00
189,27139,1244,09/04/2020 22:30:00
190,25616,1241,09/04/2020 23:00:00
191,25616,1237,09/04/2020 23:30:00
192,24168,130,09/05/2020 00:00:00
193,24168,128,09/05/2020 00:30:00
194,23934,127,09/05/2020 01:00:00
195,23934,126,09/05/2020 01:30:00
196,23853,126,09/05/2020 02:00:00
197,23853,125,09/05/2020 02:30:00
198,24069,126,09/05/2020 03:00:00
199,24069,126,09/05/2020 03:30:00
200,24414,127,09/05/2020 04:00:00
201,24414,128,09/05/2020 04:30:00
202,26056,132,09/05/2020 05:00:00
203,26056,135,09/05/2020 05:30:00
204,28290,139,09/05/2020 06:00:00
205,28290,142,09/05/2020 06:30:00
206,31356,151,09/05/2020 07:00:00
207,31356,994,09/05/2020 07:30:00
208,32261,163,09/05/2020 08:00:00
209,32261,166,09/05/2020 08:30:00
210,32736,165,09/05/2020 09:00:00
211,32736,167,09/05/2020 09:30:00
212,32687,166,09/05/2020 10:00:00
213,32687,165,09/05/2020 10:30:00
214,30514,158,09/05/2020 11:00:00
215,30514,151,09/05/2020 11:30:00
216,31990,154,09/05/2020 12:00:00
217,31990,158,09/05/2020 12:30:00
218,33155,1194,09/05/2020 13:00:00
219,33155,1142,09/05/2020 13:30:00
220,33770,1241,09/05/2020 14:00:00
221,33770,1206,09/05/2020 14:30:00
222,34496,1246,09/05/2020 15:00:00
223,34496,1274,09/05/2020 15:30:00
224,35130,1802,09/05/2020 16:00:00
225,35130,1704,09/05/2020 16:30:00
