DateTime,phuTai,giaBien
1/1/2016 0:00,23872,130
1/1/2016 0:30,23872,129
1/1/2016 1:00,23568,127
1/1/2016 1:30,23568,126
1/1/2016 2:00,23165,126
1/1/2016 2:30,23165,126
1/1/2016 3:00,23430,125
1/1/2016 3:30,23430,125
1/1/2016 4:00,23579,125
1/1/2016 4:30,23579,125
1/1/2016 5:00,23774,125
1/1/2016 5:30,23774,124
1/1/2016 6:00,24270,959
1/1/2016 6:30,24270,960
1/1/2016 7:00,25719,1093
1/1/2016 7:30,25719,965
1/1/2016 8:00,26970,999
1/1/2016 8:30,26970,1055
1/1/2016 9:00,28928,1004
1/1/2016 9:30,28928,1183
1/1/2016 10:00,29243,1206
1/1/2016 10:30,29243,1142
1/1/2016 11:00,27080,1177
1/1/2016 11:30,27080,1120
1/1/2016 12:00,27363,129
1/1/2016 12:30,27363,130
1/1/2016 13:00,28408,965
1/1/2016 13:30,28408,1054
1/1/2016 14:00,29516,1100
1/1/2016 14:30,29516,1142
1/1/2016 15:00,29791,140
1/1/2016 15:30,29791,142
1/1/2016 16:00,31482,1154
1/1/2016 16:30,31482,1780
1/1/2016 17:00,33600,1785
1/1/2016 17:30,33600,1789
1/1/2016 18:00,29917,1680
1/1/2016 18:30,29917,1776
1/1/2016 19:00,28256,1247
1/1/2016 19:30,28256,143
1/1/2016 20:00,27761,141
1/1/2016 20:30,27761,140
1/1/2016 21:00,26268,137
1/1/2016 21:30,26268,134
1/1/2016 22:00,24461,1239
1/1/2016 22:30,24461,1229
1/1/2016 23:00,23469,1226
1/1/2016 23:30,23469,1175
1/2/2016 0:00,23872,130
1/2/2016 0:30,23872,129
1/2/2016 1:00,23568,127
1/2/2016 1:30,23568,126
1/2/2016 2:00,23165,126
1/2/2016 2:30,23165,126
1/2/2016 3:00,23430,125
1/2/2016 3:30,23430,125
1/2/2016 4:00,23579,125
1/2/2016 4:30,23579,125
1/2/2016 5:00,23774,125
1/2/2016 5:30,23774,124
1/2/2016 6:00,24270,959
1/2/2016 6:30,24270,960
1/2/2016 7:00,25719,1093
1/2/2016 7:30,25719,965
1/2/2016 8:00,26970,999
1/2/2016 8:30,26970,1055
1/2/2016 9:00,28928,1004
1/2/2016 9:30,28928,1183
1/2/2016 10:00,29243,1206
1/2/2016 10:30,29243,1142
1/2/2016 11:00,27080,1177
1/2/2016 11:30,27080,1120
1/2/2016 12:00,27363,129
1/2/2016 12:30,27363,130
1/2/2016 13:00,28408,965
1/2/2016 13:30,28408,1054
1/2/2016 14:00,29516,1100
1/2/2016 14:30,29516,1142
1/2/2016 15:00,29791,140
1/2/2016 15:30,29791,142
1/2/2016 16:00,31482,1154
1/2/2016 16:30,31482,1780
1/2/2016 17:00,33600,1785
1/2/2016 17:30,33600,1789
1/2/2016 18:00,29917,1680
1/2/2016 18:30,29917,1776
1/2/2016 19:00,28256,1247
1/2/2016 19:30,28256,143
1/2/2016 20:00,27761,141
1/2/2016 20:30,27761,140
1/2/2016 21:00,26268,137
1/2/2016 21:30,26268,134
1/2/2016 22:00,24461,1239
1/2/2016 22:30,24461,1229
1/2/2016 23:00,23469,1226
1/2/2016 23:30,23469,1175
1/3/2016 0:00,23872,130
1/3/2016 0:30,23872,129
1/3/2016 1:00,23568,127
1/3/2016 1:30,23568,126
1/3/2016 2:00,23165,126
1/3/2016 2:30,23165,126
1/3/2016 3:00,23430,125
1/3/2016 3:30,23430,125
