Time,Day,SMP,Month,Year
1,1,964.9,9,2020
2,1,964.9,9,2020
3,1,943.7,9,2020
4,1,943.2,9,2020
5,1,875.0,9,2020
6,1,855.0,9,2020
7,1,850.0,9,2020
8,1,849.0,9,2020
9,1,837.0,9,2020
10,1,837.0,9,2020
11,1,850.0,9,2020
12,1,850.0,9,2020
13,1,850.0,9,2020
14,1,837.0,9,2020
15,1,833.0,9,2020
16,1,850.0,9,2020
17,1,900.0,9,2020
18,1,875.9,9,2020
19,1,849.0,9,2020
20,1,837.0,9,2020
21,1,855.0,9,2020
22,1,910.0,9,2020
23,1,850.0,9,2020
24,1,840.0,9,2020
25,1,837.0,9,2020
26,1,900.0,9,2020
27,1,943.2,9,2020
28,1,964.9,9,2020
29,1,986.0,9,2020
30,1,1009.0,9,2020
31,1,964.9,9,2020
32,1,964.9,9,2020
33,1,964.9,9,2020
34,1,943.2,9,2020
35,1,850.0,9,2020
36,1,850.0,9,2020
37,1,850.0,9,2020
38,1,900.0,9,2020
39,1,875.9,9,2020
40,1,850.0,9,2020
41,1,933.2,9,2020
42,1,950.0,9,2020
43,1,964.9,9,2020
44,1,964.9,9,2020
45,1,964.9,9,2020
46,1,943.2,9,2020
47,1,875.9,9,2020
48,1,849.0,9,2020
1,2,943.2,9,2020
2,2,943.2,9,2020
3,2,943.2,9,2020
4,2,943.2,9,2020
5,2,933.2,9,2020
6,2,900.0,9,2020
7,2,900.0,9,2020
8,2,855.0,9,2020
9,2,850.0,9,2020
10,2,850.0,9,2020
11,2,850.0,9,2020
12,2,837.0,9,2020
13,2,837.0,9,2020
14,2,800.0,9,2020
15,2,500.0,9,2020
16,2,455.1,9,2020
17,2,300.0,9,2020
18,2,299.9,9,2020
19,2,299.9,9,2020
20,2,1.0,9,2020
21,2,1.0,9,2020
22,2,1.0,9,2020
23,2,299.9,9,2020
24,2,1.0,9,2020
25,2,1.0,9,2020
26,2,300.0,9,2020
27,2,455.1,9,2020
28,2,455.1,9,2020
29,2,300.0,9,2020
30,2,300.0,9,2020
31,2,455.1,9,2020
32,2,455.1,9,2020
33,2,469.2,9,2020
34,2,455.1,9,2020
35,2,600.0,9,2020
36,2,750.0,9,2020
37,2,800.0,9,2020
38,2,800.0,9,2020
39,2,837.0,9,2020
40,2,837.0,9,2020
41,2,850.0,9,2020
42,2,950.0,9,2020
43,2,1009.0,9,2020
44,2,1130.0,9,2020
45,2,1010.0,9,2020
46,2,980.0,9,2020
47,2,943.7,9,2020
48,2,943.2,9,2020
1,3,900.0,9,2020
2,3,837.0,9,2020
3,3,837.0,9,2020
4,3,800.0,9,2020
5,3,800.0,9,2020
6,3,800.0,9,2020
7,3,800.0,9,2020
8,3,800.0,9,2020
9,3,800.0,9,2020
10,3,800.0,9,2020
11,3,800.0,9,2020
12,3,800.0,9,2020
13,3,800.0,9,2020
14,3,800.0,9,2020
15,3,800.0,9,2020
16,3,850.0,9,2020
17,3,933.2,9,2020
18,3,943.2,9,2020
19,3,980.0,9,2020
20,3,950.0,9,2020
21,3,981.0,9,2020
22,3,1009.0,9,2020
23,3,950.0,9,2020
24,3,900.0,9,2020
25,3,900.0,9,2020
26,3,943.2,9,2020
27,3,1000.0,9,2020
28,3,1010.0,9,2020
29,3,1010.0,9,2020
30,3,1010.0,9,2020
31,3,1150.0,9,2020
32,3,1340.0,9,2020
33,3,1342.2,9,2020
34,3,1070.0,9,2020
35,3,1340.0,9,2020
36,3,1342.2,9,2020
37,3,1340.0,9,2020
38,3,1342.2,9,2020
39,3,1010.0,9,2020
40,3,1042.1,9,2020
41,3,1342.3,9,2020
42,3,1342.3,9,2020
43,3,1342.3,9,2020
44,3,1342.3,9,2020
45,3,1342.3,9,2020
46,3,1342.3,9,2020
47,3,1342.3,9,2020
48,3,1010.0,9,2020
1,4,1342.3,9,2020
2,4,1342.2,9,2020
3,4,1342.2,9,2020
4,4,1200.0,9,2020
5,4,1042.1,9,2020
6,4,1010.0,9,2020
7,4,1009.0,9,2020
8,4,1009.0,9,2020
9,4,980.0,9,2020
10,4,980.0,9,2020
11,4,980.0,9,2020
12,4,980.0,9,2020
13,4,950.0,9,2020
14,4,943.7,9,2020
15,4,943.2,9,2020
16,4,943.7,9,2020
17,4,1010.0,9,2020
18,4,1010.0,9,2020
19,4,1010.0,9,2020
20,4,1010.0,9,2020
21,4,1010.0,9,2020
22,4,1010.0,9,2020
23,4,1009.0,9,2020
24,4,980.0,9,2020
25,4,1009.0,9,2020
26,4,1010.0,9,2020
27,4,1042.1,9,2020
28,4,1342.3,9,2020
29,4,1342.3,9,2020
30,4,1342.3,9,2020
31,4,1342.3,9,2020
32,4,1342.3,9,2020
33,4,1342.3,9,2020
34,4,1342.3,9,2020
35,4,1342.3,9,2020
36,4,1342.3,9,2020
37,4,1342.3,9,2020
38,4,1342.3,9,2020
39,4,1342.3,9,2020
40,4,1342.3,9,2020
41,4,1342.3,9,2020
42,4,1342.3,9,2020
43,4,1342.3,9,2020
44,4,1342.3,9,2020
45,4,1342.3,9,2020
46,4,1342.3,9,2020
47,4,1342.2,9,2020
48,4,1342.2,9,2020
1,5,1200.0,9,2020
2,5,1130.0,9,2020
3,5,1342.3,9,2020
4,5,1200.0,9,2020
5,5,1200.0,9,2020
6,5,1130.0,9,2020
7,5,1200.0,9,2020
8,5,1055.8,9,2020
9,5,1010.0,9,2020
10,5,1010.0,9,2020
11,5,1010.0,9,2020
12,5,1010.0,9,2020
13,5,980.0,9,2020
14,5,943.2,9,2020
15,5,943.2,9,2020
16,5,943.7,9,2020
17,5,980.0,9,2020
18,5,1009.0,9,2020
19,5,1010.0,9,2020
20,5,1010.0,9,2020
21,5,1055.8,9,2020
22,5,1010.0,9,2020
23,5,1009.0,9,2020
24,5,990.0,9,2020
25,5,1000.0,9,2020
26,5,1055.8,9,2020
27,5,1342.3,9,2020
28,5,1342.3,9,2020
29,5,1342.3,9,2020
30,5,1342.3,9,2020
31,5,1342.3,9,2020
32,5,1342.3,9,2020
33,5,1130.0,9,2020
34,5,1070.0,9,2020
35,5,1342.3,9,2020
36,5,1342.3,9,2020
37,5,1342.3,9,2020
38,5,1342.3,9,2020
39,5,1042.1,9,2020
40,5,1010.0,9,2020
41,5,1105.9,9,2020
42,5,1342.3,9,2020
43,5,1342.3,9,2020
44,5,1342.3,9,2020
45,5,1342.3,9,2020
46,5,1342.3,9,2020
47,5,1342.3,9,2020
48,5,1342.3,9,2020
1,6,1342.3,9,2020
2,6,1342.3,9,2020
3,6,1342.3,9,2020
4,6,1073.4,9,2020
5,6,1042.1,9,2020
6,6,1010.0,9,2020
7,6,1055.8,9,2020
8,6,1010.0,9,2020
9,6,1010.0,9,2020
10,6,999.5,9,2020
11,6,984.0,9,2020
12,6,943.7,9,2020
13,6,900.0,9,2020
14,6,842.0,9,2020
15,6,800.0,9,2020
16,6,800.0,9,2020
17,6,842.0,9,2020
18,6,842.0,9,2020
19,6,842.0,9,2020
20,6,846.0,9,2020
21,6,900.0,9,2020
22,6,935.0,9,2020
23,6,900.0,9,2020
24,6,850.0,9,2020
25,6,852.0,9,2020
26,6,943.2,9,2020
27,6,950.0,9,2020
28,6,984.0,9,2020
29,6,985.0,9,2020
30,6,1000.0,9,2020
31,6,1009.0,9,2020
32,6,1341.0,9,2020
33,6,1342.3,9,2020
34,6,1342.3,9,2020
35,6,1042.1,9,2020
36,6,1010.0,9,2020
37,6,1042.1,9,2020
38,6,1341.0,9,2020
39,6,1200.0,9,2020
40,6,1342.3,9,2020
41,6,1342.3,9,2020
42,6,1342.3,9,2020
43,6,1342.3,9,2020
44,6,1342.3,9,2020
45,6,1342.3,9,2020
46,6,1342.3,9,2020
47,6,1342.3,9,2020
48,6,1088.6,9,2020
1,7,1010.0,9,2020
2,7,980.0,9,2020
3,7,981.0,9,2020
4,7,1009.0,9,2020
5,7,1010.0,9,2020
6,7,1000.0,9,2020
7,7,1000.0,9,2020
8,7,1010.0,9,2020
9,7,1010.0,9,2020
10,7,1010.0,9,2020
11,7,1010.0,9,2020
12,7,1010.0,9,2020
13,7,985.4,9,2020
14,7,947.2,9,2020
15,7,943.2,9,2020
16,7,900.0,9,2020
17,7,933.2,9,2020
18,7,950.0,9,2020
19,7,999.4,9,2020
20,7,981.0,9,2020
21,7,1000.0,9,2020
22,7,1000.0,9,2020
23,7,975.0,9,2020
24,7,900.0,9,2020
25,7,837.0,9,2020
26,7,840.0,9,2020
27,7,850.0,9,2020
28,7,900.0,9,2020
29,7,955.0,9,2020
30,7,999.4,9,2020
31,7,985.4,9,2020
32,7,1010.0,9,2020
33,7,1342.3,9,2020
34,7,1342.3,9,2020
35,7,1340.0,9,2020
36,7,1341.5,9,2020
37,7,1340.0,9,2020
38,7,1341.5,9,2020
39,7,1010.0,9,2020
40,7,1009.0,9,2020
41,7,1010.0,9,2020
42,7,1010.0,9,2020
43,7,1000.0,9,2020
44,7,1010.0,9,2020
45,7,1342.1,9,2020
46,7,1342.3,9,2020
47,7,1010.0,9,2020
48,7,981.0,9,2020
1,8,1009.0,9,2020
2,8,985.2,9,2020
3,8,943.2,9,2020
4,8,943.2,9,2020
5,8,943.2,9,2020
6,8,900.0,9,2020
7,8,850.0,9,2020
8,8,860.0,9,2020
9,8,943.2,9,2020
10,8,943.2,9,2020
11,8,943.2,9,2020
12,8,950.0,9,2020
13,8,943.2,9,2020
14,8,943.2,9,2020
15,8,981.0,9,2020
16,8,1042.1,9,2020
17,8,1341.0,9,2020
18,8,1100.0,9,2020
19,8,1042.1,9,2020
20,8,1010.0,9,2020
21,8,1000.0,9,2020
22,8,985.4,9,2020
23,8,943.2,9,2020
24,8,901.0,9,2020
25,8,850.0,9,2020
26,8,943.2,9,2020
27,8,980.0,9,2020
28,8,979.0,9,2020
29,8,985.4,9,2020
30,8,985.4,9,2020
31,8,1000.0,9,2020
32,8,1010.0,9,2020
33,8,1054.0,9,2020
34,8,1010.0,9,2020
35,8,1009.0,9,2020
36,8,1010.0,9,2020
37,8,1010.0,9,2020
38,8,1010.0,9,2020
39,8,1010.0,9,2020
40,8,1010.0,9,2020
41,8,1105.9,9,2020
42,8,1200.0,9,2020
43,8,1010.0,9,2020
44,8,1009.0,9,2020
45,8,1009.0,9,2020
46,8,1000.0,9,2020
47,8,980.0,9,2020
48,8,979.0,9,2020
1,9,943.2,9,2020
2,9,903.2,9,2020
3,9,860.0,9,2020
4,9,850.0,9,2020
5,9,850.0,9,2020
