Time,Date,SMP,Month,Year
1,1,929.1,9,2021
2,1,902,9,2021
3,1,900,9,2021
4,1,900,9,2021
5,1,900,9,2021
6,1,895,9,2021
7,1,893,9,2021
8,1,893,9,2021
9,1,893,9,2021
10,1,854.1,9,2021
11,1,893,9,2021
12,1,895,9,2021
13,1,900,9,2021
14,1,895,9,2021
15,1,854,9,2021
16,1,854,9,2021
17,1,844,9,2021
18,1,700,9,2021
19,1,1,9,2021
20,1,1,9,2021
21,1,1,9,2021
22,1,650,9,2021
23,1,650,9,2021
24,1,500,9,2021
25,1,1,9,2021
26,1,1,9,2021
27,1,1,9,2021
28,1,700,9,2021
29,1,708,9,2021
30,1,650,9,2021
31,1,708,9,2021
32,1,799,9,2021
33,1,893,9,2021
34,1,903,9,2021
35,1,902,9,2021
36,1,929.1,9,2021
37,1,954.5,9,2021
38,1,954.5,9,2021
39,1,929.1,9,2021
40,1,902,9,2021
41,1,900,9,2021
42,1,899.1,9,2021
43,1,900,9,2021
44,1,903,9,2021
45,1,929.1,9,2021
46,1,929.1,9,2021
47,1,903,9,2021
48,1,895,9,2021
1,2,895,9,2021
2,2,854,9,2021
3,2,800,9,2021
4,2,800,9,2021
5,2,800,9,2021
6,2,800,9,2021
7,2,800,9,2021
8,2,800,9,2021
9,2,800,9,2021
10,2,800,9,2021
11,2,800,9,2021
12,2,800,9,2021
13,2,815,9,2021
14,2,800,9,2021
15,2,800,9,2021
16,2,800,9,2021
17,2,759,9,2021
18,2,700,9,2021
19,2,750,9,2021
20,2,750,9,2021
21,2,750,9,2021
22,2,783,9,2021
23,2,799,9,2021
24,2,783,9,2021
25,2,799,9,2021
26,2,759,9,2021
27,2,750,9,2021
28,2,1,9,2021
29,2,1,9,2021
30,2,1,9,2021
31,2,759,9,2021
32,2,750,9,2021
33,2,800,9,2021
34,2,800,9,2021
35,2,800,9,2021
36,2,815,9,2021
37,2,854,9,2021
38,2,893,9,2021
39,2,893,9,2021
40,2,854.1,9,2021
41,2,854,9,2021
42,2,815,9,2021
43,2,854.1,9,2021
44,2,854,9,2021
45,2,854.1,9,2021
46,2,890.2,9,2021
47,2,854,9,2021
48,2,850,9,2021
1,3,830,9,2021
2,3,815,9,2021
3,3,801,9,2021
4,3,800,9,2021
5,3,815,9,2021
6,3,830,9,2021
7,3,830,9,2021
8,3,815,9,2021
9,3,830,9,2021
10,3,815,9,2021
11,3,850,9,2021
12,3,893,9,2021
13,3,893,9,2021
14,3,850,9,2021
15,3,815,9,2021
16,3,800,9,2021
17,3,815,9,2021
18,3,799,9,2021
19,3,759,9,2021
20,3,800,9,2021
21,3,800,9,2021
22,3,800,9,2021
23,3,800,9,2021
24,3,799,9,2021
25,3,759,9,2021
26,3,759,9,2021
27,3,720,9,2021
28,3,799,9,2021
29,3,815,9,2021
30,3,801,9,2021
31,3,815,9,2021
32,3,830,9,2021
33,3,893,9,2021
34,3,854,9,2021
35,3,854,9,2021
36,3,914,9,2021
37,3,964.6,9,2021
38,3,1202.5,9,2021
39,3,999,9,2021
40,3,922,9,2021
41,3,893,9,2021
42,3,854,9,2021
43,3,854.1,9,2021
44,3,922,9,2021
45,3,947,9,2021
46,3,922,9,2021
47,3,893,9,2021
48,3,854,9,2021
1,4,890.2,9,2021
2,4,922,9,2021
3,4,954.5,9,2021
4,4,954.5,9,2021
5,4,954.5,9,2021
6,4,922,9,2021
7,4,954.5,9,2021
8,4,940.1,9,2021
9,4,900,9,2021
10,4,895,9,2021
11,4,890.2,9,2021
12,4,870,9,2021
13,4,895,9,2021
14,4,895,9,2021
15,4,895,9,2021
16,4,890.2,9,2021
17,4,870,9,2021
18,4,854,9,2021
19,4,870,9,2021
20,4,850,9,2021
21,4,801,9,2021
22,4,801,9,2021
23,4,1,9,2021
24,4,1,9,2021
25,4,1,9,2021
26,4,500,9,2021
27,4,710,9,2021
28,4,629,9,2021
29,4,725,9,2021
30,4,815,9,2021
31,4,850,9,2021
32,4,870,9,2021
33,4,870,9,2021
34,4,870,9,2021
35,4,870,9,2021
36,4,999,9,2021
37,4,999,9,2021
38,4,1024.2,9,2021
39,4,962,9,2021
40,4,922,9,2021
41,4,962,9,2021
42,4,999,9,2021
43,4,999,9,2021
44,4,1202.5,9,2021
45,4,1266,9,2021
46,4,1266,9,2021
47,4,1202.5,9,2021
48,4,1199,9,2021
1,5,962,9,2021
2,5,925,9,2021
3,5,925,9,2021
4,5,925,9,2021
5,5,986.5,9,2021
6,5,1002.6,9,2021
7,5,962,9,2021
8,5,940.1,9,2021
