,SMP,date time
0,550.0,2018-01-01 00:00:00
1,1.0,2018-01-01 01:00:00
2,1.0,2018-01-01 02:00:00
3,1.0,2018-01-01 03:00:00
4,1.0,2018-01-01 04:00:00
5,1.0,2018-01-01 05:00:00
6,1.0,2018-01-01 06:00:00
7,1.0,2018-01-01 07:00:00
8,1.0,2018-01-01 08:00:00
9,1.0,2018-01-01 09:00:00
10,1.0,2018-01-01 10:00:00
11,1.0,2018-01-01 11:00:00
12,1.0,2018-01-01 12:00:00
13,1.0,2018-01-01 13:00:00
14,1.0,2018-01-01 14:00:00
15,1.0,2018-01-01 15:00:00
16,500.0,2018-01-01 16:00:00
17,596.0,2018-01-01 17:00:00
18,500.0,2018-01-01 18:00:00
19,1.0,2018-01-01 19:00:00
20,1.0,2018-01-01 20:00:00
21,563.0,2018-01-01 21:00:00
22,1.0,2018-01-01 22:00:00
23,1.0,2018-01-01 23:00:00
24,531.0,2018-01-02 00:00:00
25,500.0,2018-01-02 01:00:00
26,500.0,2018-01-02 02:00:00
27,499.0,2018-01-02 03:00:00
28,400.0,2018-01-02 04:00:00
29,500.0,2018-01-02 05:00:00
30,596.0,2018-01-02 06:00:00
31,843.5,2018-01-02 07:00:00
32,890.4,2018-01-02 08:00:00
33,890.4,2018-01-02 09:00:00
34,800.0,2018-01-02 10:00:00
35,800.0,2018-01-02 11:00:00
36,890.4,2018-01-02 12:00:00
37,954.5,2018-01-02 13:00:00
38,970.4,2018-01-02 14:00:00
39,970.4,2018-01-02 15:00:00
40,1005.4,2018-01-02 16:00:00
41,1037.2,2018-01-02 17:00:00
42,970.4,2018-01-02 18:00:00
43,926.0,2018-01-02 19:00:00
44,970.4,2018-01-02 20:00:00
45,970.4,2018-01-02 21:00:00
46,970.4,2018-01-02 22:00:00
47,970.4,2018-01-02 23:00:00
48,890.4,2018-01-03 00:00:00
49,890.4,2018-01-03 01:00:00
50,890.4,2018-01-03 02:00:00
51,890.4,2018-01-03 03:00:00
52,890.4,2018-01-03 04:00:00
53,933.8,2018-01-03 05:00:00
54,952.8,2018-01-03 06:00:00
55,969.0,2018-01-03 07:00:00
56,969.0,2018-01-03 08:00:00
57,933.8,2018-01-03 09:00:00
58,933.8,2018-01-03 10:00:00
59,969.0,2018-01-03 11:00:00
60,969.0,2018-01-03 12:00:00
61,969.0,2018-01-03 13:00:00
62,1005.4,2018-01-03 14:00:00
63,1200.0,2018-01-03 15:00:00
64,1268.0,2018-01-03 16:00:00
65,1268.0,2018-01-03 17:00:00
66,969.0,2018-01-03 18:00:00
67,969.0,2018-01-03 19:00:00
68,969.0,2018-01-03 20:00:00
69,926.0,2018-01-03 21:00:00
70,969.0,2018-01-03 22:00:00
71,954.5,2018-01-03 23:00:00
72,890.4,2018-01-04 00:00:00
73,890.4,2018-01-04 01:00:00
74,890.4,2018-01-04 02:00:00
75,850.0,2018-01-04 03:00:00
76,870.0,2018-01-04 04:00:00
77,900.0,2018-01-04 05:00:00
78,970.3,2018-01-04 06:00:00
79,970.3,2018-01-04 07:00:00
80,970.3,2018-01-04 08:00:00
81,970.3,2018-01-04 09:00:00
82,970.3,2018-01-04 10:00:00
83,970.3,2018-01-04 11:00:00
84,950.0,2018-01-04 12:00:00
