,Time,day,SMP,month,year,Date
0,1,1,929.1,9,2021,2021-09-01
1,2,1,902.0,9,2021,2021-09-01
2,3,1,900.0,9,2021,2021-09-01
3,4,1,900.0,9,2021,2021-09-01
4,5,1,900.0,9,2021,2021-09-01
5,6,1,895.0,9,2021,2021-09-01
6,7,1,893.0,9,2021,2021-09-01
7,8,1,893.0,9,2021,2021-09-01
8,9,1,893.0,9,2021,2021-09-01
9,10,1,854.1,9,2021,2021-09-01
10,11,1,893.0,9,2021,2021-09-01
11,12,1,895.0,9,2021,2021-09-01
12,13,1,900.0,9,2021,2021-09-01
13,14,1,895.0,9,2021,2021-09-01
14,15,1,854.0,9,2021,2021-09-01
15,16,1,854.0,9,2021,2021-09-01
16,17,1,844.0,9,2021,2021-09-01
17,18,1,700.0,9,2021,2021-09-01
18,19,1,1.0,9,2021,2021-09-01
19,20,1,1.0,9,2021,2021-09-01
20,21,1,1.0,9,2021,2021-09-01
21,22,1,650.0,9,2021,2021-09-01
22,23,1,650.0,9,2021,2021-09-01
23,24,1,500.0,9,2021,2021-09-01
24,25,1,1.0,9,2021,2021-09-01
25,26,1,1.0,9,2021,2021-09-01
26,27,1,1.0,9,2021,2021-09-01
27,28,1,700.0,9,2021,2021-09-01
28,29,1,708.0,9,2021,2021-09-01
29,30,1,650.0,9,2021,2021-09-01
30,31,1,708.0,9,2021,2021-09-01
31,32,1,799.0,9,2021,2021-09-01
32,33,1,893.0,9,2021,2021-09-01
33,34,1,903.0,9,2021,2021-09-01
34,35,1,902.0,9,2021,2021-09-01
35,36,1,929.1,9,2021,2021-09-01
36,37,1,954.5,9,2021,2021-09-01
37,38,1,954.5,9,2021,2021-09-01
38,39,1,929.1,9,2021,2021-09-01
39,40,1,902.0,9,2021,2021-09-01
40,41,1,900.0,9,2021,2021-09-01
41,42,1,899.1,9,2021,2021-09-01
42,43,1,900.0,9,2021,2021-09-01
43,44,1,903.0,9,2021,2021-09-01
44,45,1,929.1,9,2021,2021-09-01
45,46,1,929.1,9,2021,2021-09-01
46,47,1,903.0,9,2021,2021-09-01
47,48,1,895.0,9,2021,2021-09-01
48,1,2,895.0,9,2021,2021-09-02
49,2,2,854.0,9,2021,2021-09-02
50,3,2,800.0,9,2021,2021-09-02
51,4,2,800.0,9,2021,2021-09-02
52,5,2,800.0,9,2021,2021-09-02
53,6,2,800.0,9,2021,2021-09-02
54,7,2,800.0,9,2021,2021-09-02
55,8,2,800.0,9,2021,2021-09-02
56,9,2,800.0,9,2021,2021-09-02
57,10,2,800.0,9,2021,2021-09-02
58,11,2,800.0,9,2021,2021-09-02
59,12,2,800.0,9,2021,2021-09-02
60,13,2,815.0,9,2021,2021-09-02
61,14,2,800.0,9,2021,2021-09-02
62,15,2,800.0,9,2021,2021-09-02
63,16,2,800.0,9,2021,2021-09-02
64,17,2,759.0,9,2021,2021-09-02
65,18,2,700.0,9,2021,2021-09-02
66,19,2,750.0,9,2021,2021-09-02
67,20,2,750.0,9,2021,2021-09-02
68,21,2,750.0,9,2021,2021-09-02
69,22,2,783.0,9,2021,2021-09-02
70,23,2,799.0,9,2021,2021-09-02
71,24,2,783.0,9,2021,2021-09-02
72,25,2,799.0,9,2021,2021-09-02
73,26,2,759.0,9,2021,2021-09-02
74,27,2,750.0,9,2021,2021-09-02
75,28,2,1.0,9,2021,2021-09-02
76,29,2,1.0,9,2021,2021-09-02
77,30,2,1.0,9,2021,2021-09-02
78,31,2,759.0,9,2021,2021-09-02
79,32,2,750.0,9,2021,2021-09-02
80,33,2,800.0,9,2021,2021-09-02
81,34,2,800.0,9,2021,2021-09-02
82,35,2,800.0,9,2021,2021-09-02
83,36,2,815.0,9,2021,2021-09-02
84,37,2,854.0,9,2021,2021-09-02
85,38,2,893.0,9,2021,2021-09-02
86,39,2,893.0,9,2021,2021-09-02
87,40,2,854.1,9,2021,2021-09-02
88,41,2,854.0,9,2021,2021-09-02
89,42,2,815.0,9,2021,2021-09-02
90,43,2,854.1,9,2021,2021-09-02
91,44,2,854.0,9,2021,2021-09-02
92,45,2,854.1,9,2021,2021-09-02
93,46,2,890.2,9,2021,2021-09-02
94,47,2,854.0,9,2021,2021-09-02
95,48,2,850.0,9,2021,2021-09-02
96,1,3,830.0,9,2021,2021-09-03
97,2,3,815.0,9,2021,2021-09-03
98,3,3,801.0,9,2021,2021-09-03
99,4,3,800.0,9,2021,2021-09-03
100,5,3,815.0,9,2021,2021-09-03
101,6,3,830.0,9,2021,2021-09-03
102,7,3,830.0,9,2021,2021-09-03
103,8,3,815.0,9,2021,2021-09-03
104,9,3,830.0,9,2021,2021-09-03
105,10,3,815.0,9,2021,2021-09-03
106,11,3,850.0,9,2021,2021-09-03
107,12,3,893.0,9,2021,2021-09-03
108,13,3,893.0,9,2021,2021-09-03
109,14,3,850.0,9,2021,2021-09-03
110,15,3,815.0,9,2021,2021-09-03
111,16,3,800.0,9,2021,2021-09-03
112,17,3,815.0,9,2021,2021-09-03
113,18,3,799.0,9,2021,2021-09-03
114,19,3,759.0,9,2021,2021-09-03
115,20,3,800.0,9,2021,2021-09-03
116,21,3,800.0,9,2021,2021-09-03
117,22,3,800.0,9,2021,2021-09-03
118,23,3,800.0,9,2021,2021-09-03
119,24,3,799.0,9,2021,2021-09-03
120,25,3,759.0,9,2021,2021-09-03
121,26,3,759.0,9,2021,2021-09-03
122,27,3,720.0,9,2021,2021-09-03
123,28,3,799.0,9,2021,2021-09-03
124,29,3,815.0,9,2021,2021-09-03
125,30,3,801.0,9,2021,2021-09-03
126,31,3,815.0,9,2021,2021-09-03
127,32,3,830.0,9,2021,2021-09-03
128,33,3,893.0,9,2021,2021-09-03
129,34,3,854.0,9,2021,2021-09-03
130,35,3,854.0,9,2021,2021-09-03
131,36,3,914.0,9,2021,2021-09-03
132,37,3,964.6,9,2021,2021-09-03
133,38,3,1202.5,9,2021,2021-09-03
134,39,3,999.0,9,2021,2021-09-03
135,40,3,922.0,9,2021,2021-09-03
136,41,3,893.0,9,2021,2021-09-03
137,42,3,854.0,9,2021,2021-09-03
138,43,3,854.1,9,2021,2021-09-03
139,44,3,922.0,9,2021,2021-09-03
