datetime,SMP,Temperature,Wind Speed,Visibility,Cloud Cover,phuTai,giaBien
11/1/2021 0:00,1,26,12.9,10,50,21367,130
11/1/2021 0:30,1,26,11,9.9,50,21367,128
11/1/2021 1:00,1,25.6,7.2,15.2,88.4,20926,127
11/1/2021 1:30,1,25.9,12.8,9.9,86.6,20926,126
11/1/2021 2:00,1,26,12.9,10,88.4,20813,126
11/1/2021 2:30,1,25.9,12.7,9.9,86.6,20813,125
11/1/2021 3:00,1,26,11.1,10,88.4,21066,126
11/1/2021 3:30,1,26,11,9.9,86.6,21066,126
11/1/2021 4:00,1,25.4,8.1,15.2,88.4,21829,127
11/1/2021 4:30,1,26,12.8,9.9,86.6,21829,128
11/1/2021 5:00,1,26,11.2,10,88.4,23779,132
11/1/2021 5:30,1,26,9.4,9.9,86.6,23779,135
11/1/2021 6:00,750,26,11.1,8,88.4,25887,139
11/1/2021 6:30,1,26,11,8.1,86.6,25887,142
11/1/2021 7:00,1,25.8,8,15.3,88.4,30145,151
11/1/2021 7:30,1,26,11,10,86.6,30145,160
11/1/2021 8:00,1,26,11.2,10,88.4,31651,163
11/1/2021 8:30,1,27,11.1,10,86.6,31651,999
11/1/2021 9:00,1,27,12.9,10,88.4,31877,166
11/1/2021 9:30,1,27,14.8,10,86.6,31877,1188
11/1/2021 10:00,1,28,10.8,15.3,88.4,32271,166
11/1/2021 10:30,1,27.9,14.8,9.9,86.6,32271,165
11/1/2021 11:00,1,29,16.6,10,88.4,30312,158
11/1/2021 11:30,1,28,18.2,9.9,50,30312,151
11/1/2021 12:00,1,29,16.5,10,50,31491,154
11/1/2021 12:30,1,29,18.2,9.9,50,31491,158
11/1/2021 13:00,1,28.1,10.8,15.2,71,33354,162
11/1/2021 13:30,1,28,14.9,10,50,33354,167
11/1/2021 14:00,1,28,14.8,10,49.6,33154,168
11/1/2021 14:30,1,28,16.7,10,50,33154,170
11/1/2021 15:00,1,28,16.5,10,88.4,34736,171
11/1/2021 15:30,810,27,14.6,10,86.6,34736,173
11/1/2021 16:00,880,26.9,12.6,15.3,88.4,35344,1553
11/1/2021 16:30,952,27,11,10,86.6,35344,1553
11/1/2021 17:00,1018.1,27,11.1,10,89.1,35905,1631
11/1/2021 17:30,1342,26,9.2,8,88,35905,1682
11/1/2021 18:00,1037.7,26,9.3,8,88.4,32582,1212
11/1/2021 18:30,900,26,7.6,8,86.6,32582,165
11/1/2021 19:00,850,25,4.5,15.2,88.4,30820,163
11/1/2021 19:30,800,26,9.1,7,86.6,30820,160
11/1/2021 20:00,800,25,1.8,10,88.4,30212,1159
11/1/2021 20:30,1,26,3.5,6.1,86.6,30212,1157
11/1/2021 21:00,1,25,5.3,6,88.4,28587,1153
11/1/2021 21:30,1,24,9.1,5,86.6,28587,1149
11/1/2021 22:00,1,23.9,9.2,8.1,88.4,26847,1391
11/1/2021 22:30,1,24,5.3,5.1,86.6,26847,1142
11/1/2021 23:00,1,24,5.4,7,88.4,25306,138
11/1/2021 23:30,1,24,5.3,8,86.6,25306,134
11/2/2021 0:00,1,24,5.3,8,88.4,24464,130
11/2/2021 0:30,1,24,7.4,8,86.6,24464,128
11/2/2021 1:00,1,23.6,5.3,8.6,88.4,24107,127
11/2/2021 1:30,1,23,5.5,6,86.6,24107,126
11/2/2021 2:00,1,23,5.4,6,88.4,23749,126
11/2/2021 2:30,1,23,5.3,6,86.6,23749,125
11/2/2021 3:00,1,23,7.5,6,88.4,24209,126
11/2/2021 3:30,1,23,3.7,6,86.6,24209,126
11/2/2021 4:00,1,22.9,2,8.6,88.4,24881,127
11/2/2021 4:30,1,23,3.5,7,86.6,24881,128
11/2/2021 5:00,1,23,3.6,7,88.4,25779,132
11/2/2021 5:30,1,23,3.5,6,50,25779,135
11/2/2021 6:00,1,23,5.4,6,50,27242,139
11/2/2021 6:30,1,23,5.3,6,50,27242,142
11/2/2021 7:00,1,23.5,1.8,13.8,71,31109,151
11/2/2021 7:30,1,24,3.5,7,50,31109,994
11/2/2021 8:00,1,24.1,3.5,8,50,32373,997
11/2/2021 8:30,1,26,3.6,9.9,50,32373,999
11/2/2021 9:00,1,27,9.3,10,50,32142,166
11/2/2021 9:30,1,27,9.2,9.9,50,32142,167
11/2/2021 10:00,1,27.3,9,15.2,71,32597,166
11/2/2021 10:30,1,27,7.6,9.9,50,32597,998
11/2/2021 11:00,1,28,7.6,10,50,30614,158
11/2/2021 11:30,1,28,11.2,10,50,30614,151
11/2/2021 12:00,1,28,11.3,10,50,33057,154
11/2/2021 12:30,1,29,18.3,10,50,33057,158
11/2/2021 13:00,1,29,13.5,15.3,71,33610,162
11/2/2021 13:30,1,27,20.4,10,50,33610,167
11/2/2021 14:00,1,28,14.8,10,49.6,34243,168
11/2/2021 14:30,1,27,14.9,10,49.1,34243,170
11/2/2021 15:00,1,28,13.1,10,49.6,35299,1180
11/2/2021 15:30,850,27,13.1,10,50,35299,1472
11/2/2021 16:00,952,27.1,10,15.3,71,36002,1627
11/2/2021 16:30,1018.1,26.9,12.9,10,50,36002,1627
11/2/2021 17:00,1037.7,27,9.4,10,50,37089,1677
11/2/2021 17:30,1342,26,9.4,10,50,37089,1636
11/2/2021 18:00,1274.3,26,7.6,10,49.6,32826,1301
11/2/2021 18:30,963,26,7.6,10,49.1,32826,1411
11/2/2021 19:00,900,24.5,3.6,15.3,70.6,31060,1265
11/2/2021 19:30,850,25,1.9,10,49.1,31060,1263
11/2/2021 20:00,850,25,3.6,10,49.6,30560,1404
11/2/2021 20:30,880,24,1.8,10,49.1,30560,1166
11/2/2021 21:00,850,23,5.4,10,49.6,29055,1162
11/2/2021 21:30,1,23,5.4,10,49.1,29055,149
11/2/2021 22:00,1,22.8,5.3,15.3,70.6,27205,1154
11/2/2021 22:30,1,23,3.6,9.9,50,27205,142
11/2/2021 23:00,1,24,7.5,10,50,25828,138
11/2/2021 23:30,1,24,7.4,9.9,50,25828,134
11/3/2021 0:00,1,23,7.4,4.1,88.4,24817,130
11/3/2021 0:30,1,23,7.4,4.1,86.6,24817,128
11/3/2021 1:00,1,22.9,5.4,12.9,89.1,24334,127
11/3/2021 1:30,1,22.9,7.5,5,88,24334,126
11/3/2021 2:00,1,23,3.6,6,89.1,24258,126
11/3/2021 2:30,1,22,5.3,6,88,24258,124
11/3/2021 3:00,1,22,5.4,6,89.1,24190,125
