Date,SMP,Temperature,Wind Speed,Visibility,Cloud Cover,PhuTai,GiaBien
9/1/2020 0:00,964.9,28,5.3,10,38.1,23872,130
9/1/2020 0:30,964.9,27,5.3,10,25,23872,129
9/1/2020 1:00,943.7,26.2,1.8,19.7,88,23568,127
9/1/2020 1:30,943.2,27,5.3,10,25,23568,126
9/1/2020 2:00,875,27,5.3,10,38.1,23165,126
9/1/2020 2:30,855,27,5.3,10,25,23165,126
9/1/2020 3:00,850,27,5.3,10,38.1,23430,125
9/1/2020 3:30,849,27,5.2,10,25,23430,125
9/1/2020 4:00,837,25.7,5.3,15.3,59.1,23579,125
9/1/2020 4:30,837,26,5.4,10,25,23579,125
9/1/2020 5:00,850,26,5.4,10,38.1,23774,125
9/1/2020 5:30,850,26,7.4,10,25,23774,124
9/1/2020 6:00,850,26,7.5,10,38.1,24270,959
9/1/2020 6:30,837,27,9,10,25,24270,960
9/1/2020 7:00,833,26.5,5.4,15.3,59.1,25719,1093
9/1/2020 7:30,850,27,7.4,10,25,25719,965
9/1/2020 8:00,900,29,11,10,38.1,26970,999
9/1/2020 8:30,875.9,33,0,10,25,26970,1055
9/1/2020 9:00,849,33,11,10,38.1,28928,1004
9/1/2020 9:30,837,33,14.3,10,25,28928,1183
9/1/2020 10:00,855,33,8.7,15.3,59.1,29243,1206
9/1/2020 10:30,910,34,14.4,10,25,29243,1142
9/1/2020 11:00,850,34,11,10,27.6,27080,1177
9/1/2020 11:30,840,34,14.8,10,25,27080,1120
9/1/2020 12:00,837,35,16.6,10,27.6,27363,129
9/1/2020 12:30,900,34,15.1,10,49.1,27363,130
9/1/2020 13:00,943.2,33.5,13.7,15.3,70.6,28408,965
9/1/2020 13:30,964.9,34,15.2,10,49.1,28408,1054
9/1/2020 14:00,986,34,16.8,10,49.6,29516,1100
9/1/2020 14:30,1009,32.9,15.3,10,49.1,29516,1142
9/1/2020 15:00,964.9,33,16.7,10,49.6,29791,140
9/1/2020 15:30,964.9,32.9,18.6,10,49.1,29791,142
9/1/2020 16:00,964.9,32.5,10.2,15.3,59.1,31482,1154
9/1/2020 16:30,943.2,31.9,11.6,10,25,31482,1780
9/1/2020 17:00,850,32,9.5,10,27.6,33600,1785
9/1/2020 17:30,850,31,6,10,25,33600,1789
9/1/2020 18:00,850,29,5.6,10,38.1,29917,1680
9/1/2020 18:30,900,28,5.6,10,25,29917,1776
9/1/2020 19:00,875.9,27.9,4.5,15.3,59.1,28256,1247
9/1/2020 19:30,850,28,5.4,10,25,28256,143
9/1/2020 20:00,933.2,28,5.4,10,38.1,27761,141
9/1/2020 20:30,950,28,5.3,10,25,27761,140
9/1/2020 21:00,964.9,27,5.4,10,59.1,26268,137
9/1/2020 21:30,964.9,27,5.5,10,25,26268,134
9/1/2020 22:00,964.9,27.1,5.3,15.3,59.1,24461,1239
9/1/2020 22:30,943.2,27,5.2,10,49.1,24461,1229
9/1/2020 23:00,875.9,27,7.4,10,49.6,23469,1226
9/1/2020 23:30,849,27,5.3,10,49.1,23469,1175
9/2/2020 0:00,943.2,27,5.3,10,25,23872,130
9/2/2020 0:30,943.2,27,5.3,10,25,23872,129
9/2/2020 1:00,943.2,26.7,5.3,15.3,59.1,23568,127
9/2/2020 1:30,943.2,27,5.3,10,25,23568,126
9/2/2020 2:00,933.2,26,5.3,10,38.1,23165,126
9/2/2020 2:30,900,26,5.4,10,25,23165,126
9/2/2020 3:00,900,26,5.4,9,38.1,23430,125
9/2/2020 3:30,855,26,5.3,8.1,25,23430,125
9/2/2020 4:00,850,26,4.4,14.3,70.6,23579,125
9/2/2020 4:30,850,26,5.4,9,50,23579,125
9/2/2020 5:00,850,26,5.3,9,59.1,23774,125
9/2/2020 5:30,837,26,5.3,9,25,23774,124
9/2/2020 6:00,837,27,5.3,10,27.6,24270,959
9/2/2020 6:30,800,27,7.4,10,25,24270,960
9/2/2020 7:00,500,27.7,5.3,15.3,59.1,25719,1093
9/2/2020 7:30,455.1,29,3.5,10,25,25719,965
9/2/2020 8:00,300,31,7.5,10,27.6,26970,999
9/2/2020 8:30,299.9,31,5.3,10,25,26970,1055
9/2/2020 9:00,299.9,33,7.5,10,27.6,28928,1004
9/2/2020 9:30,1,33,5.3,10,25,28928,1183
9/2/2020 10:00,1,33.5,7.1,15.3,59.1,29243,1206
9/2/2020 10:30,1,34,5.7,10,25,29243,1142
9/2/2020 11:00,299.9,35,9.5,10,27.6,27080,1177
9/2/2020 11:30,1,35,11.3,10,25,27080,1120
9/2/2020 12:00,1,35,13.1,10,27.6,27363,129
9/2/2020 12:30,300,35,11.4,10,25,27363,130
9/2/2020 13:00,455.1,34.9,3.6,20,90,28408,965
9/2/2020 13:30,455.1,34.9,11.6,10,25,28408,1054
9/2/2020 14:00,300,35,14.9,10,27.6,29516,1100
9/2/2020 14:30,300,34.9,15,10,25,29516,1142
9/2/2020 15:00,455.1,34,14.9,10,27.6,29791,140
9/2/2020 15:30,455.1,33.9,13.4,10,25,29791,142
9/2/2020 16:00,469.2,34,10.1,15.3,59.1,31482,1154
9/2/2020 16:30,455.1,33,13.4,10,25,31482,1780
9/2/2020 17:00,600,32,20.5,10,25,33600,1785
9/2/2020 17:30,750,31.9,9.7,10,25,33600,1789
9/2/2020 18:00,800,31,7.7,10,27.6,29917,1680
9/2/2020 18:30,800,31,5.9,10,25,29917,1776
9/2/2020 19:00,837,29.9,13,19.7,88,28256,1247
9/2/2020 19:30,837,30,2.2,10,25,28256,143
