Date,SMP,Temperature,Wind Speed,Visibility,Cloud Cover
1/1/2021 0:00,998,17.1,5.5,5,89.1
1/1/2021 0:30,994.8,20,11.2,6,88
1/1/2021 1:00,967,16.9,9.1,7.6,93.7
1/1/2021 1:30,967,17.1,5.3,5,86.6
1/1/2021 2:00,967,15.8,3.8,9.9,98.4
1/1/2021 2:30,967,16.1,7.7,5,86.6
1/1/2021 3:00,967,16.1,7,5.5,88.4
1/1/2021 3:30,967,16.1,12.8,4.1,86.6
1/1/2021 4:00,967,16.6,9.4,6.1,89.1
1/1/2021 4:30,967,16.1,7.5,4.1,88
1/1/2021 5:00,967,16.4,9.9,7.2,94.3
1/1/2021 5:30,967,16.1,13,4.1,88
1/1/2021 6:00,967,16.6,9.3,6.2,89.1
1/1/2021 6:30,937,16.1,14.8,3.1,88
1/1/2021 7:00,959.3,16.6,11.3,3.5,89.1
1/1/2021 7:30,905,16.1,11.2,5.1,88
1/1/2021 8:00,509.9,16.1,13,6,89.1
1/1/2021 8:30,500,17.1,9.4,7,88
1/1/2021 9:00,1,17.1,9.5,8,89.1
1/1/2021 9:30,1,17.1,5.9,8,88
1/1/2021 10:00,1,16.8,6.5,9,94.3
1/1/2021 10:30,1,18.1,7.8,8,88
1/1/2021 11:00,1,17.1,7.7,8,89.1
1/1/2021 11:30,1,17.1,13.2,6.1,88
1/1/2021 12:00,1,17.1,11.3,3.1,89.1
1/1/2021 12:30,1,17.1,11.4,3.2,88
1/1/2021 13:00,1,17,3.6,12,94.3
1/1/2021 13:30,1,17.1,5.8,3.2,88
1/1/2021 14:00,1,17.1,9.5,3.1,89.1
1/1/2021 14:30,473,17.1,5.8,4.1,88
1/1/2021 15:00,509.9,17.1,9.5,5.1,89.1
1/1/2021 15:30,750,17.1,7.8,6.1,88
1/1/2021 16:00,928,17.4,8.1,8.1,94.3
1/1/2021 16:30,960,18,5.5,6.1,88
1/1/2021 17:00,967,18,5.5,7,89.1
1/1/2021 17:30,1044.5,17.1,5.5,7,88
1/1/2021 18:00,1100,17.1,9.4,7,89.1
1/1/2021 18:30,1044.5,17.1,9.4,7,99.6
1/1/2021 19:00,998,16.7,3.6,13.8,99.8
1/1/2021 19:30,967,17.1,9.2,7,99.6
1/1/2021 20:00,967,17.1,11.1,7,89.1
1/1/2021 20:30,967,16.1,9.2,7,88
1/1/2021 21:00,994.8,16.1,9.3,7,89.1
1/1/2021 21:30,960,16.1,7.6,7,88
1/1/2021 22:00,935.4,16.1,6.3,8.6,94.3
1/1/2021 22:30,905,16.1,14.5,7,88
1/1/2021 23:00,910,16.1,11.1,7,89.1
1/1/2021 23:30,881.9,16,9.3,7,88
1/2/2021 0:00,930,16,5.4,7,89.1
1/2/2021 0:30,881.9,16,5.4,8,88
1/2/2021 1:00,865,16,5.4,9.1,94.3
1/2/2021 1:30,856,16,5.4,8,88
1/2/2021 2:00,859,16,7.5,8,89.1
1/2/2021 2:30,865,16,7.5,8,88
1/2/2021 3:00,900,16,5.4,8,89.1
1/2/2021 3:30,870,16,5.4,8,88
1/2/2021 4:00,856,15.8,3.5,9.1,94.3
1/2/2021 4:30,865,16,5.4,8,88
1/2/2021 5:00,877,16,5.3,8,89.1
1/2/2021 5:30,881.9,16.1,5.3,8,88
1/2/2021 6:00,920,16.1,12.8,8,89.1
1/2/2021 6:30,967,16,14.4,8,88
1/2/2021 7:00,967,15.8,7.2,14.3,94.3
1/2/2021 7:30,967,16.1,11.4,8,88
1/2/2021 8:00,1000,16.1,12.8,8,89.1
1/2/2021 8:30,967,16.1,10.9,8,88
1/2/2021 9:00,920.8,16.1,12.8,8,89.1
1/2/2021 9:30,848,16.1,16,8,88
1/2/2021 10:00,500,16.1,9.5,14.3,94.3
1/2/2021 10:30,426.7,16.1,14.4,8,88
1/2/2021 11:00,1,16.1,14.6,8,89.1
1/2/2021 11:30,1,16.1,14.6,8,88
1/2/2021 12:00,426.7,17.1,14.7,8,89.1
1/2/2021 12:30,500,17.1,13,9.9,88
1/2/2021 13:00,881.9,16.8,7.2,15.2,94.3
1/2/2021 13:30,967,17.1,14.6,8.1,88
1/2/2021 14:00,967,17.1,14.8,8,89.1
1/2/2021 14:30,967,17.1,14.9,8.1,88
1/2/2021 15:00,1044.5,17.1,13,8,89.1
1/2/2021 15:30,1112.7,17.1,11.3,8.1,88
1/2/2021 16:00,1230.2,16.8,7.2,14.3,94.3
1/2/2021 16:30,1270.6,16.1,13,7,88
1/2/2021 17:00,1270.6,16.1,9.4,6,89.1
1/2/2021 17:30,1503.5,16.1,9.3,6,88
1/2/2021 18:00,1342.3,16.1,9.4,7,89.1
1/2/2021 18:30,1258.5,16.1,9.2,7,88
1/2/2021 19:00,1230.2,16.1,7.6,13.8,94.3
1/2/2021 19:30,1200,16.1,7.6,9.9,88
1/2/2021 20:00,1230.2,16.1,5.4,9.9,89.1
1/2/2021 20:30,1258.5,16.1,7.4,9.9,88
1/2/2021 21:00,1247.6,16.1,3.6,9.9,89.1
1/2/2021 21:30,1222.8,16.1,3.7,9.9,88
1/2/2021 22:00,1222.8,16.1,5.4,15.2,94.3
1/2/2021 22:30,1113.7,17,3.6,9.9,88
1/2/2021 23:00,1200,16,3.6,9.9,89.1
1/2/2021 23:30,1100,17,3.6,8,88
1/3/2021 0:00,967,17,3.5,8,89.1
1/3/2021 0:30,967,16,5.3,7,88
1/3/2021 1:00,967,16.1,7.4,13.8,89.1
1/3/2021 1:30,967,16,7.4,7,88
1/3/2021 2:00,967,16,5.3,7,89.1
1/3/2021 2:30,967,16,5.3,6,99.6
1/3/2021 3:00,967,16,5.3,6,99.8
1/3/2021 3:30,967,16,5.3,6,99.6
1/3/2021 4:00,967,15.9,4.4,13.4,99.8
1/3/2021 4:30,967,16,1.9,6,99.6
1/3/2021 5:00,1000,16,7.5,7,99.8
1/3/2021 5:30,1044.5,16.1,7.4,7,99.6
1/3/2021 6:00,1046.1,16.1,9.2,7,99.8
1/3/2021 6:30,1212.2,16.1,7.3,6,99.6
1/3/2021 7:00,1212.2,16.1,6.2,13.4,99.8
1/3/2021 7:30,1046.1,17,9.2,6,99.6
1/3/2021 8:00,967,17,11,7,99.8
1/3/2021 8:30,870,17.1,9.2,7,99.6
1/3/2021 9:00,860,17.1,9.2,7,89.1
1/3/2021 9:30,800,18,9,8,88
1/3/2021 10:00,797,17.8,9.7,14.3,94.3
1/3/2021 10:30,797,18.1,9.1,8,88
1/3/2021 11:00,796,18.1,11,6,89.1
1/3/2021 11:30,500,18.1,10.8,4.1,88
1/3/2021 12:00,426.7,18.1,11,4.1,89.1
1/3/2021 12:30,426.7,18.1,12.6,4.1,88
1/3/2021 13:00,1,17.8,7.9,7.2,94.3
1/3/2021 13:30,395,18,12.7,2.2,88
1/3/2021 14:00,500,17.1,12.8,2.1,89.1
1/3/2021 14:30,653,17.1,10.9,2.2,88
1/3/2021 15:00,856,17.1,12.8,3.1,89.1
1/3/2021 15:30,967,17.1,16.2,3.2,88
1/3/2021 16:00,1190,17.1,7.1,6.3,94.3
1/3/2021 16:30,1245.4,17.1,11,2.3,88
1/3/2021 17:00,1503.5,17.1,11.1,2.1,89.1
1/3/2021 17:30,1503.5,17.1,9.3,2.3,88
1/3/2021 18:00,1503.5,17.1,7.6,2.1,89.1
1/3/2021 18:30,1402,17.1,7.6,3.2,88
1/3/2021 19:00,1503.5,17.1,5.4,6.3,94.3
1/3/2021 19:30,1401,17.1,9.1,2.3,88
1/3/2021 20:00,1401,17.1,7.5,2.1,89.1
1/3/2021 20:30,1503.5,17.1,7.5,2.3,88
1/3/2021 21:00,1503,17.1,7.4,4.1,89.1
1/3/2021 21:30,1401,17.1,9,4.2,88
1/3/2021 22:00,1402,17.1,5.4,7.3,94.3
1/3/2021 22:30,1245.5,17.1,7.4,4.2,99.6
1/3/2021 23:00,1222.8,17.1,5.4,5.1,99.8
1/3/2021 23:30,1200,17.1,5.2,4.2,99.6
1/4/2021 0:00,1044.5,17.1,5.4,4.1,99.8
1/4/2021 0:30,1044,17.1,3.5,4.2,99.6
1/4/2021 1:00,1044,17.1,0,7.3,99.8
1/4/2021 1:30,1000,17,0,4.2,99.6
1/4/2021 2:00,1000,17,5.3,3.1,99.8
1/4/2021 2:30,1000,17,7.3,3.2,99.6
1/4/2021 3:00,1000,17,5.3,4.1,99.8
1/4/2021 3:30,1000,17,5.2,4.2,99.6
1/4/2021 4:00,1044,17.7,5.3,7.3,99.8
1/4/2021 4:30,1044.5,18,5.3,4.2,99.6
1/4/2021 5:00,1099,18,5.3,3.1,99.8
1/4/2021 5:30,1258.5,18,5.2,4.1,99.6
1/4/2021 6:00,1401,18,5.3,4.1,99.8
1/4/2021 6:30,1502,18,9,2.2,99.6
1/4/2021 7:00,1258.5,17.8,7,6.3,99.8
1/4/2021 7:30,1450,18,14.4,2.2,99.6
1/4/2021 8:00,1401,18.1,16.3,2.1,99.8
1/4/2021 8:30,1258.5,18.1,1.7,2.2,88
1/4/2021 9:00,1100,18.1,16.3,3.1,89.1
1/4/2021 9:30,892,18.1,19.8,3.2,88
1/4/2021 10:00,869,17.9,12.4,6.8,94.3
1/4/2021 10:30,859,18.1,20,3.2,88
1/4/2021 11:00,785,18.1,18.1,2.1,89.1
1/4/2021 11:30,652.9,18.1,17.8,2.3,88
1/4/2021 12:00,652.9,18.1,18.1,2.1,89.1
1/4/2021 12:30,848,18.1,17.9,2.2,88
1/4/2021 13:00,1100,17.8,10.8,6.3,94.3
1/4/2021 13:30,1222.8,18.1,17.8,2.1,88
1/4/2021 14:00,1247.6,17.1,16.3,2.1,89.1
1/4/2021 14:30,1270.6,17.1,16.2,2.2,88
1/4/2021 15:00,1258.5,17.1,16.5,2.1,89.1
1/4/2021 15:30,1400,17.1,14.6,2.2,88
1/4/2021 16:00,1503.5,17.1,3.6,6.3,94.3
1/4/2021 16:30,1503.5,17.1,3.6,2.2,88
1/4/2021 17:00,1503.5,17.1,14.6,3.1,89.1
1/4/2021 17:30,1503.5,17.1,9.3,3.2,88
1/4/2021 18:00,1503.5,17.1,11.1,3.1,89.1
1/4/2021 18:30,1503.5,17.1,9.2,3.2,88
1/4/2021 19:00,1247.6,17.1,9.3,6.8,94.3
1/4/2021 19:30,1222.8,17.1,9.6,3.2,88
1/4/2021 20:00,1247.6,17.1,9.4,3.1,89.1
1/4/2021 20:30,1400,17.1,9.2,3.2,88
1/4/2021 21:00,1310,17.1,7.5,3.1,89.1
1/4/2021 21:30,1400,17.1,9.2,3.2,88
1/4/2021 22:00,1258.5,17.2,5.4,6.8,94.3
1/4/2021 22:30,1222.8,17.1,7.4,3.2,88
1/4/2021 23:00,1044.5,17.1,7.4,3.1,89.1
1/4/2021 23:30,1000,17.1,9.2,3.2,88
1/5/2021 0:00,1044.5,17.1,7.5,3.1,89.1
1/5/2021 0:30,1000,17.1,9,3.2,88
1/5/2021 1:00,1000,17.1,7.8,6.8,94.3
1/5/2021 1:30,1000,17.1,9.4,3.2,88
1/5/2021 2:00,1000,17.1,5.3,3.1,89.1
1/5/2021 2:30,1000,18,5.3,3.2,88
1/5/2021 3:00,1000,18,3.6,3.1,89.1
1/5/2021 3:30,1044.5,18,7.4,3.1,88
1/5/2021 4:00,1044.5,17.8,7.1,6.7,94.3
1/5/2021 4:30,1044.5,18,7.3,3.1,88
1/5/2021 5:00,1046.1,18,7.4,3.1,89.1
1/5/2021 5:30,1075.8,18,7.3,3.1,88
1/5/2021 6:00,1204.2,18,5.3,3.1,89.1
1/5/2021 6:30,1222.8,18,5.3,2.2,88
1/5/2021 7:00,1247.6,17.9,7.3,5.8,94.3
1/5/2021 7:30,1270.6,18,9,2.2,88
1/5/2021 8:00,1258.5,18,12.7,2.1,89.1
1/5/2021 8:30,1200,18.1,12.5,3.1,88
1/5/2021 9:00,1046.1,18.1,9.2,3.1,89.1
1/5/2021 9:30,935.4,18.1,10.8,3.1,88
1/5/2021 10:00,850,17.9,7,6.7,94.3
1/5/2021 10:30,793,18.1,10.8,2.1,88
1/5/2021 11:00,600,18.1,12.8,3,89.1
1/5/2021 11:30,652.9,18.1,10.8,2.1,88
1/5/2021 12:00,800,18.1,12.8,2,89.1
1/5/2021 12:30,959.3,18.1,12.7,3,88
1/5/2021 13:00,1075.8,17.9,3.6,6.2,94.3
1/5/2021 13:30,1099,18.1,11.1,2.1,88
1/5/2021 14:00,1100,18.1,11.1,2.1,89.1
1/5/2021 14:30,1222.8,18.1,9.3,2.2,88
1/5/2021 15:00,1258.5,18.1,11.1,3.1,89.1
1/5/2021 15:30,1290,18.1,14.4,3.2,88
1/5/2021 16:00,1503.5,18,16.2,7.2,94.3
1/5/2021 16:30,1503.5,18.1,12.8,4.1,88
1/5/2021 17:00,1258.5,18.1,12.9,4.1,89.1
1/5/2021 17:30,1503.5,18.1,9.3,3.2,88
1/5/2021 18:00,1503.5,18.1,7.6,3.1,89.1
