Date,SMP,Temperature,Wind Speed,Visibility,Cloud Cover,PhuTai,GiaBien
1/1/2021 0:00,998,17.1,5.5,5,89.1,20198,478
1/1/2021 0:30,994.8,20,11.2,6,88,20198,488
1/1/2021 1:00,967,16.9,3.8,7.6,93.7,19692,488
1/1/2021 1:30,967,17.1,3.8,5,86.6,19692,488
1/1/2021 2:00,967,15.8,3.8,9.9,98.4,19581,513
1/1/2021 2:30,967,16.1,7.7,5,86.6,19581,470
1/1/2021 3:00,967,16.1,7,5.5,88.4,19527,488
1/1/2021 3:30,967,16.1,12.8,4.1,86.6,19527,1
1/1/2021 4:00,967,16.6,9.4,6.1,89.1,19634,0
1/1/2021 4:30,967,16.1,9.9,4.1,88,19634,1
1/1/2021 5:00,967,16.4,9.9,7.2,94.3,19566,341
1/1/2021 5:30,967,16.1,13,4.1,88,19566,1
1/1/2021 6:00,967,16.6,9.3,6.2,89.1,20573,932
1/1/2021 6:30,937,16.1,14.8,3.1,88,20573,640
1/1/2021 7:00,959.3,15.9,7.3,7.2,94.3,19792,1040
1/1/2021 7:30,905,16.1,11.2,5.1,88,19792,1132
1/1/2021 8:00,509.9,16.1,13,6,89.1,18757,1041
1/1/2021 8:30,500,17.1,9.4,7,88,18757,1082
1/1/2021 9:00,1,17.1,9.5,8,89.1,17895,1082
1/1/2021 9:30,1,17.1,5.9,8,88,17895,932
1/1/2021 10:00,1,16.8,6.5,9,94.3,18005,1
1/1/2021 10:30,1,18.1,7.8,8,88,18005,1
1/1/2021 11:00,1,17.1,7.7,8,89.1,16885,1
1/1/2021 11:30,1,17.1,13.2,6.1,88,16885,1
1/1/2021 12:00,1,17.1,11.3,3.1,89.1,16519,1082
1/1/2021 12:30,1,17.1,11.4,3.2,88,16519,1048
1/1/2021 13:00,1,17,3.6,12,94.3,17290,1048
1/1/2021 13:30,1,17.1,9.5,3.2,88,17290,1048
1/1/2021 14:00,1,17.1,9.5,3.1,89.1,18670,1132
1/1/2021 14:30,473,17.1,5.8,4.1,88,18670,1040
1/1/2021 15:00,509.9,17.1,9.5,5.1,89.1,21079,981
1/1/2021 15:30,750,17.1,7.8,6.1,88,21079,1
1/1/2021 16:00,928,17.4,5.5,8.1,94.3,23278,1128
1/1/2021 16:30,960,18,5.5,6.1,88,23278,1048
1/1/2021 17:00,967,18,5.5,7,89.1,26124,1630
1/1/2021 17:30,1044.5,17.1,5.5,7,88,26124,1455
1/1/2021 18:00,1100,17.1,9.4,7,89.1,23478,1455
1/1/2021 18:30,1044.5,17.1,9.4,7,99.6,23478,1630
1/1/2021 19:00,998,16.7,3.6,13.8,99.8,22528,1168
1/1/2021 19:30,967,17.1,11.1,7,99.6,22528,731
1/1/2021 20:00,967,17.1,11.1,7,89.1,21551,708
1/1/2021 20:30,967,16.1,9.2,7,88,21551,1140
1/1/2021 21:00,994.8,16.1,9.3,7,89.1,20118,1035
1/1/2021 21:30,960,16.1,7.6,7,88,20118,553
1/1/2021 22:00,935.4,16.1,6.3,8.6,94.3,18458,553
1/1/2021 22:30,905,16.1,14.5,7,88,18458,553
1/1/2021 23:00,910,16.1,11.1,7,89.1,17406,553
1/1/2021 23:30,881.9,16,9.3,7,88,17406,513
1/2/2021 0:00,930,16,5.4,7,89.1,17020,488
1/2/2021 0:30,881.9,16,5.4,8,88,17020,1
1/2/2021 1:00,865,16,7.5,9.1,94.3,16788,1
1/2/2021 1:30,856,16,7.5,8,88,16788,1
1/2/2021 2:00,859,16,7.5,8,89.1,16684,1
1/2/2021 2:30,865,16,7.5,8,88,16684,1
1/2/2021 3:00,900,16,5.4,8,89.1,17140,1
1/2/2021 3:30,870,16,5.4,8,88,17140,1
1/2/2021 4:00,856,15.8,3.5,9.1,94.3,17972,1
1/2/2021 4:30,865,16,5.4,8,88,17972,463
1/2/2021 5:00,877,16,5.3,8,89.1,19422,463
1/2/2021 5:30,881.9,16.1,5.3,8,88,19422,463
1/2/2021 6:00,920,16.1,12.8,8,89.1,21977,947
1/2/2021 6:30,967,16,14.4,8,88,21977,950
1/2/2021 7:00,967,15.8,7.2,14.3,94.3,23773,986
1/2/2021 7:30,967,16.1,12.8,8,88,23773,1155
1/2/2021 8:00,1000,16.1,12.8,8,89.1,23559,1082
1/2/2021 8:30,967,16.1,10.9,8,88,23559,1014
1/2/2021 9:00,920.8,16.1,12.8,8,89.1,23039,1
1/2/2021 9:30,848,16.1,16,8,88,23039,1
1/2/2021 10:00,500,16.1,9.5,14.3,94.3,21977,1
1/2/2021 10:30,426.7,16.1,14.4,8,88,21977,1
1/2/2021 11:00,1,16.1,14.6,8,89.1,19864,1
1/2/2021 11:30,1,16.1,14.6,8,88,19864,1048
1/2/2021 12:00,426.7,17.1,14.7,8,89.1,21309,1
1/2/2021 12:30,500,17.1,13,9.9,88,21309,956
1/2/2021 13:00,881.9,16.8,7.2,15.2,94.3,22743,1014
1/2/2021 13:30,967,17.1,14.8,8.1,88,22743,1014
1/2/2021 14:00,967,17.1,14.8,8,89.1,24198,981
1/2/2021 14:30,967,17.1,14.9,8.1,88,24198,942
1/2/2021 15:00,1044.5,17.1,13,8,89.1,26481,1207
1/2/2021 15:30,1112.7,17.1,11.3,8.1,88,26481,1326
1/2/2021 16:00,1230.2,16.8,7.2,14.3,94.3,27919,1455
1/2/2021 16:30,1270.6,16.1,13,7,88,27919,1455
1/2/2021 17:00,1270.6,16.1,9.4,6,89.1,30078,1630
1/2/2021 17:30,1503.5,16.1,9.3,6,88,30078,1630
1/2/2021 18:00,1342.3,16.1,9.4,7,89.1,27165,1455
1/2/2021 18:30,1258.5,16.1,9.2,7,88,27165,1501
1/2/2021 19:00,1230.2,16.1,7.6,13.8,94.3,25779,1239
1/2/2021 19:30,1200,16.1,7.6,9.9,88,25779,1352
1/2/2021 20:00,1230.2,16.1,5.4,9.9,89.1,25113,1400
1/2/2021 20:30,1258.5,16.1,7.4,9.9,88,25113,1529
1/2/2021 21:00,1247.6,16.1,3.6,9.9,89.1,23484,1377
1/2/2021 21:30,1222.8,16.1,3.7,9.9,88,23484,1326
1/2/2021 22:00,1222.8,16.1,5.4,15.2,94.3,21761,1326
1/2/2021 22:30,1113.7,17,3.6,9.9,88,21761,1201
1/2/2021 23:00,1200,16,3.6,9.9,89.1,20862,1314
1/2/2021 23:30,1100,17,3.6,8,88,20862,1207
1/3/2021 0:00,967,17,3.5,8,89.1,20248,1165
1/3/2021 0:30,967,16,5.3,7,88,20248,1119
1/3/2021 1:00,967,16.1,7.4,13.8,89.1,20095,1134
1/3/2021 1:30,967,16,7.4,7,88,20095,1134
1/3/2021 2:00,967,16,5.3,7,89.1,19822,1117
1/3/2021 2:30,967,16,5.3,6,99.6,19822,1073
1/3/2021 3:00,967,16,5.3,6,99.8,20084,1119
1/3/2021 3:30,967,16,5.3,6,99.6,20084,1128
1/3/2021 4:00,967,15.9,4.4,13.4,99.8,20355,1089
1/3/2021 4:30,967,16,1.9,6,99.6,20355,1089
1/3/2021 5:00,1000,16,7.5,7,99.8,21015,1044
