,date,time,value,date time
0,2018-01-01,1,550.0,2018-01-01 1
1,2018-01-01,2,1,2018-01-01 2
2,2018-01-01,3,1,2018-01-01 3
3,2018-01-01,4,1,2018-01-01 4
4,2018-01-01,5,1,2018-01-01 5
5,2018-01-01,6,1,2018-01-01 6
6,2018-01-01,7,1,2018-01-01 7
7,2018-01-01,8,1,2018-01-01 8
8,2018-01-01,9,1,2018-01-01 9
9,2018-01-01,10,1,2018-01-01 10
10,2018-01-01,11,1,2018-01-01 11
11,2018-01-01,12,1,2018-01-01 12
12,2018-01-01,13,1,2018-01-01 13
13,2018-01-01,14,1,2018-01-01 14
14,2018-01-01,15,1,2018-01-01 15
15,2018-01-01,16,1,2018-01-01 16
16,2018-01-01,17,500,2018-01-01 17
17,2018-01-01,18,596,2018-01-01 18
18,2018-01-01,19,500,2018-01-01 19
19,2018-01-01,20,1,2018-01-01 20
20,2018-01-01,21,1,2018-01-01 21
21,2018-01-01,22,563,2018-01-01 22
22,2018-01-01,23,1,2018-01-01 23
23,2018-01-01,24,1,2018-01-01 24
24,2018-01-02,1,531.0,2018-01-02 1
25,2018-01-02,2,500,2018-01-02 2
26,2018-01-02,3,500,2018-01-02 3
27,2018-01-02,4,499,2018-01-02 4
28,2018-01-02,5,400,2018-01-02 5
29,2018-01-02,6,500,2018-01-02 6
30,2018-01-02,7,596,2018-01-02 7
31,2018-01-02,8,843.5,2018-01-02 8
32,2018-01-02,9,890.4,2018-01-02 9
33,2018-01-02,10,890.4,2018-01-02 10
34,2018-01-02,11,800,2018-01-02 11
35,2018-01-02,12,800,2018-01-02 12
36,2018-01-02,13,890.4,2018-01-02 13
37,2018-01-02,14,954.5,2018-01-02 14
38,2018-01-02,15,970.4,2018-01-02 15
39,2018-01-02,16,970.4,2018-01-02 16
40,2018-01-02,17,    1 005.4,2018-01-02 17
41,2018-01-02,18,    1 037.2,2018-01-02 18
42,2018-01-02,19,970.4,2018-01-02 19
43,2018-01-02,20,926,2018-01-02 20
44,2018-01-02,21,970.4,2018-01-02 21
45,2018-01-02,22,970.4,2018-01-02 22
46,2018-01-02,23,970.4,2018-01-02 23
47,2018-01-02,24,970.4,2018-01-02 24
48,2018-01-03,1,890.4,2018-01-03 1
49,2018-01-03,2,890.4,2018-01-03 2
50,2018-01-03,3,890.4,2018-01-03 3
51,2018-01-03,4,890.4,2018-01-03 4
52,2018-01-03,5,890.4,2018-01-03 5
