Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Hue, Viet Nam",9/1/2020 0:00,28,28,28,33.6,0,5.3,222,10,38.1,88.83,Partially cloudy
"Hue, Viet Nam",9/1/2020 1:00,26.2,26.2,26.2,0,0,1.8,230,19.7,88,93.18,Overcast
"Hue, Viet Nam",9/1/2020 2:00,27,27,27,31.2,0,5.3,210,10,38.1,94.09,Partially cloudy
"Hue, Viet Nam",9/1/2020 3:00,27,27,27,30.6,0,5.3,220,10,38.1,88.75,Partially cloudy
"Hue, Viet Nam",9/1/2020 4:00,25.7,25.7,25.7,0,0,5.3,220,15.3,59.1,92.06,Partially cloudy
"Hue, Viet Nam",9/1/2020 5:00,26,26,26,0,0,5.4,200,10,38.1,88.67,Partially cloudy
"Hue, Viet Nam",9/1/2020 6:00,26,26,26,0,0,7.5,220,10,38.1,94.14,Partially cloudy
"Hue, Viet Nam",9/1/2020 7:00,26.5,26.5,26.5,0,0,5.4,245,15.3,59.1,87.04,Partially cloudy
"Hue, Viet Nam",9/1/2020 8:00,29,29,29,34.6,0,11,232,10,38.1,78.82,Partially cloudy
"Hue, Viet Nam",9/1/2020 9:00,33,33,33,40.6,0,11,240,10,38.1,62.87,Partially cloudy
"Hue, Viet Nam",9/1/2020 10:00,33,33,33,40.6,0,8.7,284,15.3,59.1,63.12,Partially cloudy
"Hue, Viet Nam",9/1/2020 11:00,34,34,34,40.6,0,11,340,10,27.6,55.77,Partially cloudy
"Hue, Viet Nam",9/1/2020 12:00,35,35,35,43.3,0,16.6,331,10,27.6,56.28,Partially cloudy
"Hue, Viet Nam",9/1/2020 13:00,33.5,33.5,33.5,41.5,0,13.7,11,15.3,70.6,61.86,Partially cloudy
"Hue, Viet Nam",9/1/2020 14:00,34,34,34,43.5,0,16.8,360,10,49.6,63.14,Partially cloudy
"Hue, Viet Nam",9/1/2020 15:00,33,33,33,42.1,0,16.7,350,10,49.6,66.84,Partially cloudy
"Hue, Viet Nam",9/1/2020 16:00,32.5,32.5,32.5,39.6,0,10.2,346,15.3,59.1,64.14,Partially cloudy
"Hue, Viet Nam",9/1/2020 17:00,32,32,32,39.2,0,9.5,321,10,27.6,66.65,Partially cloudy
"Hue, Viet Nam",9/1/2020 18:00,29,29,29,34.6,0,5.6,193,10,38.1,78.9,Partially cloudy
"Hue, Viet Nam",9/1/2020 19:00,27.9,27.9,27.9,32.5,0,4.5,202,15.3,59.1,83.53,Partially cloudy
"Hue, Viet Nam",9/1/2020 20:00,28,28,28,32.8,0,5.4,192,10,38.1,83.54,Partially cloudy
